data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos
2010-01-04,36.95,37.32,37.32,37.1,36.82,13508000,13756,PETR4,501288505.0,0.23537,8.78,1.0,37.32
2010-01-05,37.38,37.0,37.43,37.12,36.8,21728900,23047,PETR4,806640991.0,0.23537,8.71,1.0,37.0
2010-01-06,36.8,37.5,37.5,37.25,36.8,18884900,18856,PETR4,703499776.0,0.23537,8.83,1.0,37.5
2010-01-07,37.27,37.15,37.45,37.24,37.07,11208900,12988,PETR4,417465445.0,0.23537,8.74,1.0,37.15
2010-01-08,37.16,36.95,37.39,37.06,36.86,14866500,14445,PETR4,551035848.0,0.23537,8.7,1.0,36.95
2010-01-11,37.21,36.83,37.34,37.0,36.62,15865000,16749,PETR4,587049067.0,0.23537,8.67,1.0,36.83
2010-01-12,36.59,36.36,36.68,36.27,36.04,15156600,18566,PETR4,549888546.0,0.23537,8.56,1.0,36.36
2010-01-13,36.56,36.3,36.74,36.17,35.84,23668100,23782,PETR4,856344358.0,0.23537,8.54,1.0,36.3
2010-01-14,36.28,35.67,36.46,35.92,35.56,20965300,21961,PETR4,752909397.0,0.23537,8.4,1.0,35.67
2010-01-15,35.57,35.75,36.1,35.74,35.51,21387100,19941,PETR4,764376001.0,0.23537,8.41,1.0,35.75
2010-01-18,35.9,36.55,36.67,36.28,35.77,23278300,17483,PETR4,844780759.0,0.23537,8.6,1.0,36.55
2010-01-19,36.45,36.38,36.65,36.41,36.24,17228600,14813,PETR4,627387417.0,0.23537,8.56,1.0,36.38
2010-01-20,36.1,35.45,36.15,35.61,35.26,19192400,18253,PETR4,683599736.0,0.23537,8.34,1.0,35.45
2010-01-21,35.58,34.33,35.7,34.71,34.29,24947300,25440,PETR4,865922900.0,0.23537,8.08,1.0,34.33
2010-01-22,34.11,34.75,34.8,34.5,34.06,19267500,18035,PETR4,664875573.0,0.23537,8.18,1.0,34.75
2010-01-26,34.29,33.9,34.34,33.97,33.65,20742200,19335,PETR4,704658604.0,0.23537,7.98,1.0,33.9
2010-01-27,33.9,34.11,34.29,33.92,33.51,20195100,24924,PETR4,685201281.0,0.23537,8.03,1.0,34.11
2010-01-28,34.6,34.61,34.69,34.34,33.87,13932800,13128,PETR4,478505758.0,0.23537,8.15,1.0,34.61
2010-01-29,34.78,34.17,35.05,34.6,33.93,16362100,15956,PETR4,566070004.0,0.23537,8.04,1.0,34.17
2010-02-01,34.29,34.3,34.49,34.22,33.9,16406100,13468,PETR4,561620766.0,0.23537,8.07,1.0,34.3
2010-02-02,34.51,34.1,34.67,34.25,34.06,15526400,16024,PETR4,531776228.0,0.23537,8.03,1.0,34.1
2010-02-03,34.05,34.04,34.18,33.96,33.73,16331200,14250,PETR4,554735148.0,0.23537,8.01,1.0,34.04
2010-02-04,33.84,32.3,33.94,32.86,32.12,24822600,24013,PETR4,815437925.0,0.23537,7.6,1.0,32.3
2010-02-05,31.8,31.52,32.27,31.41,30.72,29866200,27735,PETR4,938494404.0,0.23537,7.42,1.0,31.52
2010-02-08,31.8,31.74,32.26,31.86,31.42,19117800,14892,PETR4,609008112.0,0.23537,7.47,1.0,31.74
2010-02-09,32.2,32.24,32.68,32.34,32.1,18306700,14834,PETR4,592119413.0,0.23537,7.59,1.0,32.24
2010-02-10,32.33,32.64,32.73,32.27,31.77,22116200,16398,PETR4,713807679.0,0.23537,7.68,1.0,32.64
2010-02-11,32.89,33.36,33.47,33.15,32.73,24573700,19785,PETR4,814879415.0,0.23537,7.85,1.0,33.36
2010-02-12,33.0,33.8,34.02,33.52,32.95,19276400,16549,PETR4,646205072.0,0.23537,7.96,1.0,33.8
2010-02-17,34.39,34.25,34.5,34.25,34.03,16766700,16929,PETR4,574282320.0,0.23537,8.06,1.0,34.25
2010-02-18,34.24,34.69,34.69,34.29,33.82,17307500,15992,PETR4,593657462.0,0.23537,8.17,1.0,34.69
2010-02-19,34.42,34.35,34.65,34.46,34.16,12002700,12571,PETR4,413677962.0,0.23537,8.09,1.0,34.35
2010-02-22,34.5,34.65,34.89,34.64,34.41,19936000,24470,PETR4,690714015.0,0.23537,8.16,1.0,34.65
2010-02-23,34.41,34.19,34.65,34.27,34.0,17024000,16560,PETR4,583528293.0,0.23537,8.05,1.0,34.19
2010-02-24,34.29,33.94,34.35,33.99,33.64,13733800,12051,PETR4,466819613.0,0.23537,7.99,1.0,33.94
2010-02-25,33.48,34.38,34.5,33.92,33.26,18715500,17284,PETR4,634926387.0,0.23537,8.09,1.0,34.38
2010-02-26,34.59,34.61,34.75,34.5,34.21,17960800,15843,PETR4,619830388.0,0.23537,8.15,1.0,34.61
2010-03-01,34.82,34.93,35.05,34.8,34.42,17065000,17066,PETR4,593927452.0,0.23537,8.22,1.0,34.93
2010-03-02,35.25,35.12,35.52,35.29,35.12,17393900,15852,PETR4,613862630.0,0.23537,8.27,1.0,35.12
